year_study,month_study,Alchornea triplinervia,Amaioua intermedia,Anaxagorea dolichocarpa,Aparisthmium cordatum,Calophyllum brasiliense,Calyptranthes sp.,Cariniana sp.,Cecropia spp,Cordia cf. ecalyculata,Coussapoa microcarpa,Cupania/Matayba,Daphnopsis,Dictyoloma vandellianum,Diospyros brasiliensis,Eriotheca pentaphylla,Eugenia cerasiflora,Eugenia melanogyna,Eugenia sp. 1,Eugenia sp. 2,Eugenia sp. 3,Eugenia sp. 4,Eugenia sp. 5,Eugenia sp. 6,Eugenia sp. 7,Eugenia sp. 8,Eugenia sp. 9,Euterpe edulis,Ficus insipida,Ficus sp. 1,Ficus spp.,Geonoma schottiana,Geonoma sp.,Guapira spp.,Guarea macrophylla,Guatteria australis,Handroanthus/Tabebuia,Heisteria silvianii,Hieronyma alchorneoides,Hymenolobium janeirense,Ilex spp.,Inga sessilis,Inga sp.,Jacaranda puberula,Laplacea fruticosa,Lauraceae,Mabea piriri,Machaerium nyctitans,Manilkara subsericea,Maprounea guianensis,Marlierea racemosa,Marlierea sp.,Marlierea tomentosa,Matayba intermedia,Myrcia multiflora,Myrcia pubipetala,Myrcia racemosa,Myrcia sp. 1,Myrcia sp. 2,Myrcia sp. 3,Myrcia sp. 4,Myrsine spp.,Nectandra oppositifolia,Ocotea aciphylla,Ocotea brachybotrya,Ocotea pulchella,Oreopanax capitatus,Pera glabrata,Piptadenia gonoacantha,Posoqueria latifolia,Prunus myrtifolia,Psychotria spp.,Pterocarpus rohri,Sapotaceae,Schefflera angustissima,Schizolobium parahiba,Sloanea guianensis,Solanum spp.,Strychnos cf. brasilienses,Stylogyne lhotzkyana,Swartzia/Erythrina,Tachigali denudata,Terminalia ?
1,1,1,,,,,,,,,160,,,,,1,,,,,,,,,,,,,,,0,3,,4,2,,,,,,,,31,,6,,,,,,,,2,,,,,13,,,9,86,,,,1,,,,,,,1,,3,,,,,,,,
1,2,,,,,,,,,1,736,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,3,,2,,,,,,,,,,,,,,,,3,90,,,,1,,,,,,,,1,,,,,,,,,
1,3,,,2,,,,,,,718,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,3,,,,,,,,,,,,4,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,
1,4,9,,,,,,,1,,657,,,,,,1,,,,,,,,,,,,,,,,,106,1,6,,,141,,1,,,,1,,,,,,,,,33,,,,,,,,15,,,,,,2,,,,,,,10,,19,,,,,,2
1,5,17,,,,,,,23,,768,,,,,,,,,,,,,,,,,,,,,,,41,,1,,,62,,1,54,,,1,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,17,,60,,,,,,
1,6,,,,,,,,16,,186,,,,,,,,,,,,,,,,,,,,,,,6,,9,,,2,,8,,,,,,,,,12,,,,,,,,,,,,1,,,,,,,,,,2,,,90,,,,,4,,,
1,7,,15,1,,1,6,,27,,540,,,,,,,,,,,,,,,,,1,,,0,21,,4,,,,,19,,8,,,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,,,,159,,,1,,1,,,2
1,8,,39,,,,,,4,,350,,,,,,,,,,,,,,,,,,,,0,5,,2,,,,,5,,14,,,,,,,,,10,,,,,3,,,,,,,,,,,,,25,,1,,,,,19,,,,,,,,
1,9,,167,,,,,,2,,117,,,,,,,,,,,2,1,,,,,,,,0,1,,,,,,,2,,9,,,,1,,,,,,6,,,,,,,,,,,1,,,,,,19,,,,,,,7,,,,,,,,
1,10,,29,,,,,,3,,37,13,,,,,,,,,,,,1,,,,,,2,0,5,,1,,,,,,,1,,,,2,,,,,1,,,,,,,,,,,,,2,,,1,,6,,,1,,,,10,,,,,,,,
1,11,,9,1,,,,1,,,15,5,,,,,,,,,,,,,,,,,,,0,5,,2,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,2,3,,,1,,,,,,,,,1,,,,,,,,
1,12,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2,,2,,,,,,,,1,,,,,,,,,15,8,,,,,,,,,,,,,,,,,,,,
2,1,,,1,,,,,,,31,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,2,,2,,,,,,,,,,,,,,,,,48,1,,,3,,,,,,,,,2,,,,,,,,
2,2,,,1,,,,,1,,208,,,,,,,,,,,,,,,26,1,,,,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,40,,,,,,,,,,,,,2,,,,,,,,
2,3,,,,,,,,2,,288,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,3,10,,,,,,,,,1,,,,,,,,,,,,2,22,,,,,,,,,,,,,1,,,,,,,,
