single,allochthonous,most_abund,spn,species,family,ab1,nt_a1,nt_p1,ssl1,nm_a1,nm_p1,tsl1,ab2,nt_a2,nt_p2,ssl2,nm_a2,nm_p2,tsl2,ab3,nt_a3,nt_p3,ssl3,nm_a3,nm_p3,tsl3,nt_tot,nm_tot,ab_all,nt_a_mean,nt_p_mean,ssl_mean,nt_tot_all,nt_a_all,nt_p_all,ssl_all,nm_a_mean,nm_p_mean,tsl_mean,nm_tot_all,nm_a_all,nm_p_all,tsl_all,nm_tot_tot12,nm_a_tot12,nm_p_tot12,nt_tot_tot40,nt_a_tot40,nt_p_tot40,freq_ad,mass,syndr,zooc,Hloc,,
TRUE,,TRUE,3,Alchornea triplinervia,Euphorbiaceae,27,25,15,0.65,9,3,0.75,24,27,13,0.675,7,5,0.583,46,22,18,0.55,8,4,0.667,40,12,97,24.667,15.333,0.625,120,36,84,0.3,8,4,0.667,36,24,12,0.667,12,5,7,40,12,28,0.85,0.0396,Z,TRUE,20,,
TRUE,,TRUE,16,Amaioua intermedia,Rubiaceae,259,30,10,0.75,7,5,0.583,0,40,0,1,12,0,1,7,36,4,0.9,9,3,0.75,40,12,266,35.333,4.667,0.883,120,84,36,0.7,9.333,2.667,0.778,36,28,8,0.778,12,7,5,40,28,12,0.3,0.0105,Z,TRUE,12,,
TRUE,,TRUE,23,Anaxagorea dolichocarpa,Annonaceae,5,37,3,0.925,7,5,0.583,4,38,2,0.95,8,4,0.667,1,39,1,0.975,11,1,0.917,40,12,10,38,2,0.95,120,102,18,0.85,8.667,3.333,0.722,36,27,9,0.75,12,5,7,40,34,6,0.475,0.2481,Z,TRUE,14,,
TRUE,,TRUE,48,Aparisthmium cordatum,Euphorbiaceae,0,40,0,1,12,0,1,0,40,0,1,12,0,1,157,39,1,0.975,8,4,0.667,40,12,157,39.667,0.333,0.992,120,117,3,0.975,10.667,1.333,0.889,36,32,4,0.889,12,8,4,40,39,1,0.125,0.029,Auto,FALSE,10,,
TRUE,,TRUE,17,Calophyllum brasiliense,Calophylaceae,1,39,1,0.975,11,1,0.917,50,34,6,0.9,10,2,0.833,24,29,11,0.725,9,3,0.75,40,12,75,34,6,0.867,120,84,36,0.7,10,2,0.833,36,30,6,0.833,12,7,5,40,28,12,0.375,1.2639,Z,TRUE,22,,
TRUE,,,39,Calyptranthes sp,Myrtaceae,6,39,1,0.975,11,1,0.917,3,39,1,0.975,11,1,0.917,0,40,0,1,12,0,1,40,12,9,39.333,0.667,0.983,120,114,6,0.95,11.333,0.667,0.945,36,34,2,0.944,12,10,2,40,38,2,0.175,0.0463,Z,TRUE,10,,
,TRUE,,49,Cariniana sp,Lecythidaceae,1,39,1,0.975,11,1,0.917,0,40,0,1,12,0,1,0,40,0,1,12,0,1,40,12,1,39.667,0.333,0.992,120,117,3,0.975,11.667,0.333,0.972,36,35,1,0.972,12,11,1,40,39,1,,,Ane,FALSE,,,
,,,6,Cecropia spp,Urticaceae,76,31,9,0.775,5,7,0.417,29,34,6,0.85,3,9,0.25,56,25,15,0.625,3,9,0.25,40,12,161,30,10,0.75,120,54,66,0.45,3.667,8.333,0.306,36,11,25,0.306,12,2,10,40,18,22,0.125,0.0009,Z,TRUE,16,,
,TRUE,,50,Cordia cf ecalyculata,Boraginaceae,1,39,1,0.975,11,1,0.917,0,40,0,1,12,0,1,0,40,0,1,12,0,1,40,12,1,39.667,0.333,0.992,120,117,3,0.975,11.667,0.333,0.972,36,35,1,0.972,12,11,1,40,39,1,,,Z,TRUE,,,
TRUE,,TRUE,1,Coussapoa microcarpa,Urticaceae,4285,1,39,0.025,0,12,0,2668,2,38,0.05,0,12,0,5608,2,38,0.05,0,12,0,40,12,12561,1.667,38.333,0.042,120,0,120,0,0,12,0,36,0,36,0,12,0,12,40,0,40,0.575,0.0014,Z,TRUE,18,,
