most_abund,single,species,year,nt_a,nt_p,nt_tot,freq_ad,freq_ad_cat,mass,syndr,syndr_num,Hmax,Hloc,nm_a,nm_p,nm_tot
TRUE,TRUE,Alchornea triplinervia,1,25,15,40,0.85,2,0.0396,Zoocoria,3,25,20,9,3,12
TRUE,TRUE,Alchornea triplinervia,2,27,13,40,0.85,2,0.0396,Zoocoria,3,25,20,7,5,12
TRUE,TRUE,Alchornea triplinervia,3,22,18,40,0.85,2,0.0396,Zoocoria,3,25,20,8,4,12
TRUE,TRUE,Amaioua intermedia,1,30,10,40,0.3,2,0.0105,Zoocoria,3,20,12,7,5,12
TRUE,TRUE,Amaioua intermedia,2,40,0,40,0.3,2,0.0105,Zoocoria,3,20,12,12,0,12
TRUE,TRUE,Amaioua intermedia,3,36,4,40,0.3,2,0.0105,Zoocoria,3,20,12,9,3,12
TRUE,TRUE,Anaxagorea dolichocarpa,1,37,3,40,0.475,2,0.2481,Zoocoria,3,15,14,7,5,12
TRUE,TRUE,Anaxagorea dolichocarpa,2,38,2,40,0.475,2,0.2481,Zoocoria,3,15,14,8,4,12
TRUE,TRUE,Anaxagorea dolichocarpa,3,39,1,40,0.475,2,0.2481,Zoocoria,3,15,14,11,1,12
TRUE,TRUE,Aparisthmium cordatum,1,40,0,40,0.125,1,0.029,Autocoria,1,12,10,12,0,12
TRUE,TRUE,Aparisthmium cordatum,2,40,0,40,0.125,1,0.029,Autocoria,1,12,10,12,0,12
TRUE,TRUE,Aparisthmium cordatum,3,39,1,40,0.125,1,0.029,Autocoria,1,12,10,8,4,12
FALSE,FALSE,Bignoniaceae,1,40,0,40,0.5,2,0.0066,Anemocoria,2,25,18,12,0,12
FALSE,FALSE,Bignoniaceae,2,36,4,40,0.5,2,0.0066,Anemocoria,2,25,18,9,3,12
FALSE,FALSE,Bignoniaceae,3,40,0,40,0.5,2,0.0066,Anemocoria,2,25,18,12,0,12
TRUE,TRUE,Calophyllum brasiliense,1,39,1,40,0.375,2,1.2639,Zoocoria,3,30,22,11,1,12
TRUE,TRUE,Calophyllum brasiliense,2,34,6,40,0.375,2,1.2639,Zoocoria,3,30,22,10,2,12
TRUE,TRUE,Calophyllum brasiliense,3,29,11,40,0.375,2,1.2639,Zoocoria,3,30,22,9,3,12
FALSE,FALSE,Calyptranthes spp,1,39,1,40,0.175,1,0.0463,Zoocoria,3,15,10,11,1,12
FALSE,FALSE,Calyptranthes spp,2,39,1,40,0.175,1,0.0463,Zoocoria,3,15,10,11,1,12
FALSE,FALSE,Calyptranthes spp,3,40,0,40,0.175,1,0.0463,Zoocoria,3,15,10,12,0,12
FALSE,FALSE,Cecropia spp,1,31,9,40,0.125,1,0.0009,Zoocoria,3,20,16,5,7,12
FALSE,FALSE,Cecropia spp,2,34,6,40,0.125,1,0.0009,Zoocoria,3,20,16,3,9,12
FALSE,FALSE,Cecropia spp,3,25,15,40,0.125,1,0.0009,Zoocoria,3,20,16,3,9,12
TRUE,TRUE,Coussapoa microcarpa,1,1,39,40,0.575,2,0.0014,Zoocoria,3,35,18,0,12,12
TRUE,TRUE,Coussapoa microcarpa,2,2,38,40,0.575,2,0.0014,Zoocoria,3,35,18,0,12,12
TRUE,TRUE,Coussapoa microcarpa,3,2,38,40,0.575,2,0.0014,Zoocoria,3,35,18,0,12,12
FALSE,FALSE,Daphnopsis spp,1,40,0,40,0.025,1,0.1472,Zoocoria,3,10,7,12,0,12
FALSE,FALSE,Daphnopsis spp,2,40,0,40,0.025,1,0.1472,Zoocoria,3,10,7,12,0,12
FALSE,FALSE,Daphnopsis spp,3,38,2,40,0.025,1,0.1472,Zoocoria,3,10,7,10,2,12
TRUE,TRUE,Diospyros brasiliensis,1,40,0,40,0.9,2,0.3692,Zoocoria,3,6,20,12,0,12
TRUE,TRUE,Diospyros brasiliensis,2,37,3,40,0.9,2,0.3692,Zoocoria,3,6,20,10,2,12
TRUE,TRUE,Diospyros brasiliensis,3,40,0,40,0.9,2,0.3692,Zoocoria,3,6,20,12,0,12
FALSE,TRUE,Eriotheca pentaphylla,1,39,1,40,0.425,2,0.5767,Autocoria,1,30,18,11,1,12
FALSE,TRUE,Eriotheca pentaphylla,2,40,0,40,0.425,2,0.5767,Autocoria,1,30,18,12,0,12
FALSE,TRUE,Eriotheca pentaphylla,3,40,0,40,0.425,2,0.5767,Autocoria,1,30,18,12,0,12
TRUE,TRUE,Eugenia cerasiflora,1,39,1,40,0.025,1,1.3002,Zoocoria,3,25,10,11,1,12
TRUE,TRUE,Eugenia cerasiflora,2,38,2,40,0.025,1,1.3002,Zoocoria,3,25,10,10,2,12
TRUE,TRUE,Eugenia cerasiflora,3,40,0,40,0.025,1,1.3002,Zoocoria,3,25,10,12,0,12
TRUE,TRUE,Euterpe edulis,1,39,1,40,0.775,2,0.3044,Zoocoria,3,12,12,11,1,12
TRUE,TRUE,Euterpe edulis,2,39,1,40,0.775,2,0.3044,Zoocoria,3,12,12,10,2,12
TRUE,TRUE,Euterpe edulis,3,37,3,40,0.775,2,0.3044,Zoocoria,3,12,12,10,2,12
FALSE,TRUE,Ficus insipida,1,40,0,40,0.025,1,0.0024,Zoocoria,3,30,4,12,0,12
FALSE,TRUE,Ficus insipida,2,40,0,40,0.025,1,0.0024,Zoocoria,3,30,4,12,0,12
FALSE,TRUE,Ficus insipida,3,39,1,40,0.025,1,0.0024,Zoocoria,3,30,4,11,1,12
FALSE,FALSE,Ficus spp,1,31,9,40,0.175,1,0.0002,Zoocoria,3,45,24,3,9,12
FALSE,FALSE,Ficus spp,2,33,7,40,0.175,1,0.0002,Zoocoria,3,45,24,6,6,12
FALSE,FALSE,Ficus spp,3,36,4,40,0.175,1,0.0002,Zoocoria,3,45,24,10,2,12
TRUE,TRUE,Geonoma schottiana,1,32,8,40,0.075,1,0.0351,Zoocoria,3,4,5,6,6,12
TRUE,TRUE,Geonoma schottiana,2,36,4,40,0.075,1,0.0351,Zoocoria,3,4,5,6,6,12
TRUE,TRUE,Geonoma schottiana,3,32,8,40,0.075,1,0.0351,Zoocoria,3,4,5,6,6,12
FALSE,FALSE,Guapira spp,1,35,5,40,0.45,2,0.0364,Zoocoria,3,20,16,4,8,12
FALSE,FALSE,Guapira spp,2,39,1,40,0.45,2,0.0364,Zoocoria,3,20,16,9,3,12
FALSE,FALSE,Guapira spp,3,33,7,40,0.45,2,0.0364,Zoocoria,3,20,16,7,5,12
TRUE,TRUE,Guarea macrophylla,1,35,5,40,0.675,2,0.2034,Zoocoria,3,20,10,8,4,12
TRUE,TRUE,Guarea macrophylla,2,37,3,40,0.675,2,0.2034,Zoocoria,3,20,10,9,3,12
TRUE,TRUE,Guarea macrophylla,3,38,2,40,0.675,2,0.2034,Zoocoria,3,20,10,10,2,12
TRUE,TRUE,Guatteria australis,1,37,3,40,0.35,2,0.037,Zoocoria,3,26,12,9,3,12
TRUE,TRUE,Guatteria australis,2,38,2,40,0.35,2,0.037,Zoocoria,3,26,12,11,1,12
TRUE,TRUE,Guatteria australis,3,38,2,40,0.35,2,0.037,Zoocoria,3,26,12,11,1,12
TRUE,TRUE,Heisteria silvianii,1,40,0,40,0.4,2,0.2147,Zoocoria,3,18,8,12,0,12
TRUE,TRUE,Heisteria silvianii,2,40,0,40,0.4,2,0.2147,Zoocoria,3,18,8,12,0,12
TRUE,TRUE,Heisteria silvianii,3,34,6,40,0.4,2,0.2147,Zoocoria,3,18,8,9,3,12
TRUE,TRUE,Hieronyma alchorneoides,1,38,2,40,0.075,1,0.0151,Zoocoria,3,35,17,5,7,12
TRUE,TRUE,Hieronyma alchorneoides,2,33,7,40,0.075,1,0.0151,Zoocoria,3,35,17,2,10,12
TRUE,TRUE,Hieronyma alchorneoides,3,35,5,40,0.075,1,0.0151,Zoocoria,3,35,17,4,8,12
TRUE,TRUE,Hymenolobium janeirense,1,40,0,40,0.025,1,0.0495,Anemocoria,2,25,15,12,0,12
TRUE,TRUE,Hymenolobium janeirense,2,37,3,40,0.025,1,0.0495,Anemocoria,2,25,15,9,3,12
TRUE,TRUE,Hymenolobium janeirense,3,21,19,40,0.025,1,0.0495,Anemocoria,2,25,15,8,4,12
FALSE,FALSE,Ilex spp,1,25,15,40,0.4,2,0.0063,Zoocoria,3,20,17,5,7,12
FALSE,FALSE,Ilex spp,2,32,8,40,0.4,2,0.0063,Zoocoria,3,20,17,7,5,12
FALSE,FALSE,Ilex spp,3,26,14,40,0.4,2,0.0063,Zoocoria,3,20,17,4,8,12
TRUE,TRUE,Inga sessilis,1,39,1,40,0.1,1,0.1848,Zoocoria,3,20,20,10,2,12
TRUE,TRUE,Inga sessilis,2,39,1,40,0.1,1,0.1848,Zoocoria,3,20,20,11,1,12
TRUE,TRUE,Inga sessilis,3,40,0,40,0.1,1,0.1848,Zoocoria,3,20,20,12,0,12
FALSE,TRUE,Jacaranda puberula,1,40,0,40,0.275,2,0.0075,Anemocoria,2,20,15,12,0,12
FALSE,TRUE,Jacaranda puberula,2,40,0,40,0.275,2,0.0075,Anemocoria,2,20,15,12,0,12
FALSE,TRUE,Jacaranda puberula,3,39,1,40,0.275,2,0.0075,Anemocoria,2,20,15,11,1,12
TRUE,TRUE,Laplacea fruticosa,1,33,7,40,0.025,1,0.0127,Anemocoria,2,16,8,4,8,12
TRUE,TRUE,Laplacea fruticosa,2,33,7,40,0.025,1,0.0127,Anemocoria,2,16,8,8,4,12
TRUE,TRUE,Laplacea fruticosa,3,32,8,40,0.025,1,0.0127,Anemocoria,2,16,8,8,4,12
FALSE,TRUE,Mabea piriri,1,40,0,40,0.025,1,0.1027,Autocoria,1,24,16,12,0,12
FALSE,TRUE,Mabea piriri,2,40,0,40,0.025,1,0.1027,Autocoria,1,24,16,12,0,12
FALSE,TRUE,Mabea piriri,3,39,1,40,0.025,1,0.1027,Autocoria,1,24,16,11,1,12
FALSE,TRUE,Machaerium nyctitans,1,40,0,40,0.025,1,0.1601,Anemocoria,2,25,15,12,0,12
FALSE,TRUE,Machaerium nyctitans,2,40,0,40,0.025,1,0.1601,Anemocoria,2,25,15,12,0,12
FALSE,TRUE,Machaerium nyctitans,3,39,1,40,0.025,1,0.1601,Anemocoria,2,25,15,11,1,12
TRUE,TRUE,Manilkara subsericea,1,40,0,40,0.2,1,0.3686,Zoocoria,3,30,23,12,0,12
TRUE,TRUE,Manilkara subsericea,2,39,1,40,0.2,1,0.3686,Zoocoria,3,30,23,11,1,12
TRUE,TRUE,Manilkara subsericea,3,39,1,40,0.2,1,0.3686,Zoocoria,3,30,23,10,2,12
TRUE,TRUE,Maprounea guianensis,1,31,9,40,0.125,1,0.0114,Autocoria,1,20,17,8,4,12
TRUE,TRUE,Maprounea guianensis,2,32,8,40,0.125,1,0.0114,Autocoria,1,20,17,7,5,12
TRUE,TRUE,Maprounea guianensis,3,37,3,40,0.125,1,0.0114,Autocoria,1,20,17,6,6,12
TRUE,TRUE,Marlierea racemosa,1,39,1,40,0.025,1,0.6928,Zoocoria,3,12,3.5,11,1,12
TRUE,TRUE,Marlierea racemosa,2,40,0,40,0.025,1,0.6928,Zoocoria,3,12,3.5,12,0,12
TRUE,TRUE,Marlierea racemosa,3,40,0,40,0.025,1,0.6928,Zoocoria,3,12,3.5,12,0,12
TRUE,TRUE,Marlierea tomentosa,1,39,1,40,0.125,1,0.5136,Zoocoria,3,12,8,10,2,12
TRUE,TRUE,Marlierea tomentosa,2,39,1,40,0.125,1,0.5136,Zoocoria,3,12,8,10,2,12
TRUE,TRUE,Marlierea tomentosa,3,40,0,40,0.125,1,0.5136,Zoocoria,3,12,8,12,0,12
TRUE,TRUE,Matayba intermedia,1,31,9,40,0.425,2,0.1071,Zoocoria,3,20,20,9,3,12
TRUE,TRUE,Matayba intermedia,2,33,7,40,0.425,2,0.1071,Zoocoria,3,20,20,10,2,12
TRUE,TRUE,Matayba intermedia,3,34,6,40,0.425,2,0.1071,Zoocoria,3,20,20,10,2,12
TRUE,TRUE,Myrcia multiflora,1,39,1,40,0.025,1,0.03,Zoocoria,3,12,7,11,1,12
TRUE,TRUE,Myrcia multiflora,2,38,2,40,0.025,1,0.03,Zoocoria,3,12,7,10,2,12
TRUE,TRUE,Myrcia multiflora,3,40,0,40,0.025,1,0.03,Zoocoria,3,12,7,12,0,12
TRUE,TRUE,Myrcia pubipetala,1,40,0,40,0.3,2,0.0704,Zoocoria,3,19,16,12,0,12
TRUE,TRUE,Myrcia pubipetala,2,40,0,40,0.3,2,0.0704,Zoocoria,3,19,16,12,0,12
TRUE,TRUE,Myrcia pubipetala,3,39,1,40,0.3,2,0.0704,Zoocoria,3,19,16,11,1,12
FALSE,TRUE,Myrcia racemosa,1,40,0,40,0.575,2,0.0598,Zoocoria,3,14,10,12,0,12
FALSE,TRUE,Myrcia racemosa,2,39,1,40,0.575,2,0.0598,Zoocoria,3,14,10,11,1,12
FALSE,TRUE,Myrcia racemosa,3,40,0,40,0.575,2,0.0598,Zoocoria,3,14,10,12,0,12
FALSE,FALSE,Mysine spp,1,7,33,40,0.175,1,0.0138,Zoocoria,3,25,15,3,9,12
FALSE,FALSE,Mysine spp,2,12,28,40,0.175,1,0.0138,Zoocoria,3,25,15,6,6,12
FALSE,FALSE,Mysine spp,3,12,28,40,0.175,1,0.0138,Zoocoria,3,25,15,3,9,12
TRUE,TRUE,Nectandra oppositifolia,1,34,6,40,0.825,2,0.5421,Zoocoria,3,22,22,9,3,12
TRUE,TRUE,Nectandra oppositifolia,2,22,18,40,0.825,2,0.5421,Zoocoria,3,22,22,7,5,12
TRUE,TRUE,Nectandra oppositifolia,3,21,19,40,0.825,2,0.5421,Zoocoria,3,22,22,7,5,12
FALSE,TRUE,Ocotea aciphylla,1,40,0,40,0.1,1,2.1419,Zoocoria,3,21,16,12,0,12
FALSE,TRUE,Ocotea aciphylla,2,39,1,40,0.1,1,2.1419,Zoocoria,3,21,16,11,1,12
FALSE,TRUE,Ocotea aciphylla,3,40,0,40,0.1,1,2.1419,Zoocoria,3,21,16,12,0,12
TRUE,TRUE,Ocotea pulchella,1,36,4,40,0.025,1,0.0721,Zoocoria,3,16,12,8,4,12
TRUE,TRUE,Ocotea pulchella,2,34,6,40,0.025,1,0.0721,Zoocoria,3,16,12,10,2,12
TRUE,TRUE,Ocotea pulchella,3,38,2,40,0.025,1,0.0721,Zoocoria,3,16,12,10,2,12
FALSE,TRUE,Oreopanax capitatus,1,40,0,40,0.025,1,0.024,Zoocoria,3,18,12,12,0,12
FALSE,TRUE,Oreopanax capitatus,2,40,0,40,0.025,1,0.024,Zoocoria,3,18,12,12,0,12
FALSE,TRUE,Oreopanax capitatus,3,39,1,40,0.025,1,0.024,Zoocoria,3,18,12,11,1,12
TRUE,TRUE,Pera glabrata,1,22,18,40,0.325,2,0.0124,Zoocoria,3,35,19,8,4,12
TRUE,TRUE,Pera glabrata,2,33,7,40,0.325,2,0.0124,Zoocoria,3,35,19,8,4,12
TRUE,TRUE,Pera glabrata,3,24,16,40,0.325,2,0.0124,Zoocoria,3,35,19,6,6,12
FALSE,TRUE,Posoqueria latifolia,1,39,1,40,0.275,2,0.1798,Zoocoria,3,20,12,11,1,12
FALSE,TRUE,Posoqueria latifolia,2,40,0,40,0.275,2,0.1798,Zoocoria,3,20,12,12,0,12
FALSE,TRUE,Posoqueria latifolia,3,40,0,40,0.275,2,0.1798,Zoocoria,3,20,12,12,0,12
TRUE,TRUE,Prunus myrtifolia,1,39,1,40,0.075,1,0.3578,Zoocoria,3,30,15,11,1,12
TRUE,TRUE,Prunus myrtifolia,2,37,3,40,0.075,1,0.3578,Zoocoria,3,30,15,10,2,12
TRUE,TRUE,Prunus myrtifolia,3,39,1,40,0.075,1,0.3578,Zoocoria,3,30,15,11,1,12
FALSE,TRUE,Pterocarpus rohri,1,39,1,40,0.1,1,0.0937,Anemocoria,2,25,20,11,1,12
FALSE,TRUE,Pterocarpus rohri,2,39,1,40,0.1,1,0.0937,Anemocoria,2,25,20,11,1,12
FALSE,TRUE,Pterocarpus rohri,3,40,0,40,0.1,1,0.0937,Anemocoria,2,25,20,12,0,12
TRUE,TRUE,Schefflera angustissima,1,22,18,40,0.575,2,0.0272,Zoocoria,3,20,18,3,9,12
TRUE,TRUE,Schefflera angustissima,2,22,18,40,0.575,2,0.0272,Zoocoria,3,20,18,0,12,12
TRUE,TRUE,Schefflera angustissima,3,26,14,40,0.575,2,0.0272,Zoocoria,3,20,18,4,8,12
TRUE,TRUE,Sloanea guianensis,1,34,6,40,0.85,2,0.0736,Zoocoria,3,25,17,10,2,12
TRUE,TRUE,Sloanea guianensis,2,40,0,40,0.85,2,0.0736,Zoocoria,3,25,17,12,0,12
TRUE,TRUE,Sloanea guianensis,3,40,0,40,0.85,2,0.0736,Zoocoria,3,25,17,12,0,12
TRUE,TRUE,Stylogyne lhotzkyana,1,38,2,40,0.275,2,0.0988,Zoocoria,3,10,6,10,2,12
TRUE,TRUE,Stylogyne lhotzkyana,2,39,1,40,0.275,2,0.0988,Zoocoria,3,10,6,11,1,12
TRUE,TRUE,Stylogyne lhotzkyana,3,40,0,40,0.275,2,0.0988,Zoocoria,3,10,6,12,0,12
